Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
200	3,219	Ce II	 C73	200	0.77
200	3,220	Tb II	 B01	200	0.77
2	3,221	Pb I	 WA68	2	0.10
80	3,221	Er II	 M64b	80	0.63
1000	3,221	Cm II	 WHGC76	1000	1.00
  300 P	3,221	Ir I	 MCS75	300	0.83
  700 P	3,221	Pu II	 BFG84	700	0.95
250	3,221	Ce II	 C73	250	0.80
130	3,221	Th II	 PE83	130	0.70
12	3,222	Mo I	 WB88	12	0.36
30	3,222	Fe I	 NJLT94	30	0.49
110	3,223	Ti II	 HJLW82	110	0.68
60	3,223	Er II	 M64b	60	0.59
   80*	3,224	Gd II	 MCS75	#N/A	#N/A
 1000 P	3,224	Cm I	 WHGC76	1000	1.00
120	3,225	Ne II	 P71	120	0.69
  700 P	3,225	Pu II	 BFG84	700	0.95
 1000 P	3,225	Cm I	 WHGC76	1000	1.00
  250 P	3,225	Nb II	 RCL00	250	0.80
60	3,226	Fe I	 NJLT94	60	0.59
1000	3,226	Cm II	 WHGC76	1000	1.00
200	3,227	Ce II	 C73	200	0.77
1	3,228	Rb I	 RE80	1	0.00
40	3,228	Mn I	 CMG64	40	0.53
30	3,228	Mo I	 WB88	30	0.49
40	3,229	Ti II	 HJLW82	40	0.53
130	3,229	Th II	 PE83	130	0.70
60	3,229	Ti II	 HJLW82	60	0.59
40	3,229	Ti II	 HJLW82	40	0.53
150	3,229	U  II	 BW92b	150	0.73
120	3,230	Ne II	 P71	120	0.69
   60 P	3,230	Tl I	 MCS75	60	0.59
20	3,230	Mo I	 WB88	20	0.43
200	3,230	Ne II	 P71	200	0.77
1000	3,230	Cm I	 WHGC76	1000	1.00
12	3,230	Pt I	 SRSA92	12	0.36
1000	3,230	Cm II	 WHGC76	1000	1.00
120	3,230	Ne II	 P71	120	0.69
  200 P	3,231	Er II	 M64b	200	0.77
  130 s	3,231	Ac II	 MFT57	130	0.70
25	3,231	Au I	 ED71	25	0.47
11	3,231	Mn I	 CMG64	11	0.35
110	3,232	Zr II	 J98	110	0.68
120	3,232	Ne II	 P71	120	0.69
70	3,232	Os I	 MCS75	70	0.62
140	3,232	U  II	 BW92b	140	0.72
  500 d	3,232	Pu I	 BFG84	500	0.90
150	3,232	Ne II	 P71	150	0.73
  250 P,r	3,232	Sb I	 SM02	250	0.80
    2*	3,233	Li I	 REB95	#N/A	#N/A
    2*	3,233	Li I	 REB95	#N/A	#N/A
130	3,233	Ni I	 LBT93	130	0.70
40	3,233	Mo I	 WB88	40	0.53
7	3,233	Pt I	 SRSA92	7	0.28
200	3,234	Zr I	 J98	200	0.77
200	3,234	Ce II	 C73	200	0.77
  600 P	3,235	Ti II	 HJLW82	600	0.93
110	3,236	Th II	 PE83	110	0.68
7	3,236	Re I	 MCS75	7	0.28
30	3,236	Fe I	 NJLT94	30	0.49
120	3,236	Nb II	 RCL00	120	0.69
  400 P	3,237	Ti II	 HJLW82	400	0.87
1000	3,237	Cm I	 WHGC76	1000	1.00
30	3,237	Mn I	 CMG64	30	0.49
130	3,237	Tm II	 MCS75	130	0.70
  700 P	3,237	Tc II	 BMC67	700	0.95
30	3,237	Mo I	 WB88	30	0.49
140	3,238	Th II	 PE83	140	0.72
1000	3,239	Cm II	 WHGC76	1000	1.00
  300 P	3,239	Ti II	 HJLW82	300	0.83
2	3,240	Pb I	 WA68	2	0.10
200	3,240	Tm II	 MCS75	200	0.77
  300 l	3,241	Pa II	 BW92b	300	0.83
130	3,241	Zr II	 J98	130	0.70
250	3,242	Tm II	 MCS75	250	0.80
200	3,242	Ti II	 HJLW82	200	0.77
  500 P	3,242	Y  II	 NJK91	500	0.90
 1000 P	3,243	Cm II	 WHGC76	1000	1.00
  500 P	3,243	Pd I	 ELLW98	500	0.90
70	3,243	Ni I	 LBT93	70	0.62
  150 h	3,243	Cu I	 S48	150	0.73
100	3,243	Ne II	 P71	100	0.67
7	3,244	Ar II	 N73	7	0.28
