Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
70	3,370	Ne I	 SS04	70	0.62
140	3,370	Ti I	 F91	140	0.72
30	3,371	Os I	 MCS75	30	0.49
600	3,371	Ti I	 F91	600	0.93
250	3,372	Ta I	 MCS75	250	0.80
100	3,372	Ne II	 P71	100	0.67
50	3,372	Ni I	 LBT93	50	0.57
  250 P	3,372	Sc II	 JL80	250	0.80
120	3,372	Rh I	 MCS75	120	0.69
  700 P	3,373	Er II	 M64b	700	0.95
  500 P	3,373	Ti II	 HJLW82	500	0.90
200	3,373	Pd I	 ELLW98	200	0.77
50	3,374	W  I	 MCS75	50	0.57
90	3,374	Er II	 M64b	90	0.65
